postal_code,country,date_valid_std,doy_std,avg_of__daily_avg_temperature_air_f,avg_temperature_air_2m_f,avg_temperature_anomaly_air_2m_f,std_of__daily_avg_temperature_air_f,tot_precipitation_in,tot_snowfall_in,avg_wind_speed_10m_mph,avg_of__daily_avg_mag_wind_speed_10m_mph,avg_wind_speed_10m_anomaly_mph
10111,US,2020-04-07,98,50.09,57.13,7.04,8.02,0.07,0.0,6.63,7.49,-0.86
10111,US,2020-04-08,99,50.59,54.55,3.96,8.08,0.09,0.0,6.27,7.41,-1.14
10111,US,2020-04-09,100,51.03,51.31,0.28,8.09,0.15,0.0,14.89,7.27,7.62
10111,US,2020-04-10,101,51.54,44.86,-6.68,8.0,0.0,0.0,19.48,7.28,12.2
10111,US,2020-04-11,102,51.95,46.22,-5.73,7.97,0.0,0.0,12.03,7.27,4.75
10111,US,2020-04-12,103,52.1,48.92,-3.18,8.01,0.01,0.0,8.56,7.36,1.2
10111,US,2020-04-13,104,52.45,52.45,0.0,8.17,0.8,0.0,13.11,7.35,5.75
10111,US,2020-04-14,105,52.9,45.59,-7.31,8.16,0.0,0.0,11.67,7.25,4.42
10111,US,2020-04-15,106,53.31,46.87,-6.44,8.23,0.0,0.0,11.53,7.1,4.43
10111,US,2020-04-16,107,53.77,47.28,-6.49,8.04,1.56,0.0,23.8,7.11,16.69
10111,US,2020-04-17,108,54.25,44.49,-9.76,7.87,0.02,0.0,15.26,7.13,8.12
10111,US,2020-04-18,109,54.51,43.91,-10.6,7.59,0.1,0.39,13.94,7.11,6.82
10111,US,2020-04-19,110,54.76,46.7,-8.06,7.41,0.0,0.0,9.15,7.1,2.05
10111,US,2020-04-20,111,55.14,47.05,-8.09,7.35,0.35,0.0,11.83,7.04,4.79
10111,US,2020-04-21,112,55.36,53.38,-1.98,7.36,0.71,0.0,17.39,6.94,10.45
10111,US,2020-04-22,113,55.72,46.95,-8.77,7.3,0.02,0.0,17.1,6.78,10.32
